name,mass,mass_error_min,mass_error_max,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min
Kepler-324 d,0.00702,0.00264,0.0016,0.84,0.5,0.1008,0.0045
Kepler-328 b,0.09,0.039,0.041,0.0,0.0,0.205,0.021
Kepler-328 c,0.124,0.04,0.043,0.0,0.0,0.482,0.048
Kepler-32 b,4.1,4.05,0.0,0.0,0.0,0.196,0.018
Kepler-32 c,0.5,0.499,0.0,0.0,0.0,0.178,0.018
Kepler-338 b,0.0963,0.0664,0.0761,0.0,0.0,0.218,0.012
Kepler-338 e,0.027,0.02,0.023,0.0,0.0,0.139,0.006
Kepler-34 (AB)b,0.22,0.011,0.011,0.0,0.0,0.7637,0.0134
Kepler-350 c,0.019,0.01,0.01,0.0,0.0,0.277,0.125
Kepler-350 d,0.047,0.015,0.017,0.0,0.0,0.25,0.092
Kepler-35 (AB)b,0.1268,0.0201,0.0201,0.0,0.0,0.728,0.0134
Kepler-36 b,0.01205,0.00031,0.00035,0.0,0.0,0.134,0.004
Kepler-36 c,0.02243,0.00057,0.00057,0.0,0.0,0.328,0.008
Kepler-37 b,0.01,0.01,0.01,0.0,0.0,0.026,0.003
Kepler-37 c,0.03776,0.0,0.0,0.0,0.0,0.067,0.003
Kepler-37 d,0.017,0.0044,0.0044,0.0,0.0,0.173,0.005
Kepler-37 e,8.1,1.7,1.7,1.7,1.7,0.67535,0.0
Kepler-38 (AB)b,0.38,0.38,0.0,0.0,0.0,0.39,0.01
Kepler-391 c,1.416,1.413,0.0,0.0,0.0,0.316,0.077
Kepler-396 b,0.238,0.018,0.037,0.0,0.0,0.312,0.058
Kepler-396 c,0.056,0.004,0.009,0.0,0.0,0.473,0.088
Kepler-406 b,0.02,0.004,0.004,0.0044,0.0044,0.128,0.003
Kepler-406 c,0.009,0.006,0.006,0.0057,0.0057,0.076,0.003
Kepler-407 Ab,0.005251,0.002586,0.002586,0.0,0.0,0.10358,0.00348
Kepler-407 Ac,11.089,0.0493,0.0493,0.0493,0.0493,0.67535,0.0
Kepler-408 b,0.01573,0.0,0.0,0.0,0.0,0.073,0.0003
Kepler-409 b,0.06922,0.0692,0.0,0.0,0.0,0.106,0.003
Kepler-40 b,2.2,0.4,0.4,0.0,0.0,1.17,0.04
Kepler-411 Ab,0.0805,0.0082,0.0082,0.0,0.0,0.16647,0.00544
Kepler-411 Ac,0.0831,0.0186,0.0186,0.0,0.0,0.28888,0.00964
Kepler-411 Ad,0.04782,0.01605,0.01605,0.0,0.0,0.30119,0.01079
Kepler-411 Ae,0.03398,0.00346,0.00346,0.0,0.0,0.67535,0.0
